"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.ID","COUNTRY","INDICATOR.ID","INDICATOR","ENERGY_SOURCE.ID","ENERGY_SOURCE","FREQUENCY.ID","FREQUENCY","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:RE(2.0.1)","ARG.EIC_MW.HYDROPOWER.A","OBS_VALUE","ARG","Argentina","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","10274.618","10320.118","10342.118","10375.758","10377.268","10390.488","10390.488"
"IMF.STA:RE(2.0.1)","U002.EIC_MW.SOLARENERGY.A","OBS_VALUE","U002","Africa","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","5048.163","7944.276","9293.14","10658.712","11581.588","12646.002","13438.073"
"IMF.STA:RE(2.0.1)","ARG.EG_GWH.HYDROPOWER.A","OBS_VALUE","ARG","Argentina","EG_GWH","Electricity Generation, Gigawatt hours","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","31782.759","32289.914","27514.913","23679.064","19657.461","22779.385",""
"IMF.STA:RE(2.0.1)","AFG.EIC_MW.HYDROPOWER.A","OBS_VALUE","AFG","Afghanistan, Islamic Republic of","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","348.993","348.993","348.993","348.993","356.608","459.138","459.138"
"IMF.STA:RE(2.0.1)","U142.EG_GWH.WINDENERGY.A","OBS_VALUE","U142","Asia","EG_GWH","Electricity Generation, Gigawatt hours","WINDENERGY","Wind energy","A","Annual","387430.745","462180.639","515335.197","582361.711","782315.491","910971.446","0"
"IMF.STA:RE(2.0.1)","G110.EIC_MW.BIOENERGY.A","OBS_VALUE","G110","Advanced Economies","EIC_MW","Electricity Installed Capacity, Megawatt","BIOENERGY","Bioenergy","A","Annual","55311.101","58206.997","59946.258","60789.85","59564.44","60934.763","62146.697"
"IMF.STA:RE(2.0.1)","DZA.EG_GWH.FOSSILFUELS.A","OBS_VALUE","DZA","Algeria","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","75383","75880","80691","78432","84729","90550",""
"IMF.STA:RE(2.0.1)","U002.EG_GWH.BIOENERGY.A","OBS_VALUE","U002","Africa","EG_GWH","Electricity Generation, Gigawatt hours","BIOENERGY","Bioenergy","A","Annual","3111.952","3321.472","3371.044","3108.891","3147.22","3224.269","0"
"IMF.STA:RE(2.0.1)","ABW.EIC_MW.SOLARENERGY.A","OBS_VALUE","ABW","Aruba, Kingdom of the Netherlands","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","7.304","14.804","14.804","14.804","14.804","14.804","14.804"
"IMF.STA:RE(2.0.1)","AND.EG_GWH.SOLARENERGY.A","OBS_VALUE","AND","Andorra, Principality of","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","0.508","0.561","0.723","0.938","1.259","1.595",""
